date,population,uncertainty
2016,184930.6875,49691.75390625
2017,233034.125,32422.21484375
2018,254690.515625,51228.453125
2019,292525.5,6046.9951171875
2020,317417.9375,39518.1640625
2021,346292.125,33108.671875
2022,383962.59375,34885.12890625
2023,390695.0625,23322.173828125
2024,417743.09375,90543.7421875
2025,455290.875,36068.4609375
