date,population,uncertainty
2016,747923.0,0.0
2017,936850.625,98016.3046875
2018,921118.875,86902.8125
2019,963202.1875,55830.59375
2020,1043376.25,46393.44921875
2021,1074060.125,47575.1171875
2022,1176931.875,95144.3828125
2023,1088463.25,166516.6875
2024,1204693.375,83196.609375
2025,1306665.0,80727.84375
