date,population,uncertainty
2016,654574.125,58551.2421875
2017,740908.9375,90909.6640625
2018,838950.25,33800.93359375
2019,814798.875,75365.6171875
2020,823081.875,68335.421875
2021,916054.25,98243.3125
2022,968301.4375,101647.75
2023,1101406.0,71899.6015625
2024,1071402.0,216514.28125
2025,1142513.75,70437.171875
