date,population,uncertainty
2016,348542.6875,13402.359375
2017,368540.5625,34052.140625
2018,385623.28125,44505.2578125
2019,415734.0625,88112.6328125
2020,456996.875,48404.98828125
2021,441840.625,33944.7578125
2022,424000.28125,43896.47265625
2023,458833.40625,74921.1171875
2024,544387.875,24059.697265625
2025,562771.0,25486.96484375
