date,population,uncertainty
2016,85930.6875,1007.73046875
2017,130245.890625,52899.765625
2018,122531.875,8678.083984375
2019,140514.75,9805.82421875
2020,133256.8125,3500.699462890625
2021,152094.34375,10795.2109375
2022,160373.921875,22201.5234375
2023,162979.4375,11503.3623046875
2024,161445.265625,12242.0361328125
2025,183060.25,15576.744140625
