date,population,uncertainty
2016,99834.15625,22413.96484375
2017,99134.015625,13438.1259765625
2018,108266.0546875,35348.41796875
2019,155835.84375,22168.939453125
2020,148680.71875,23161.013671875
2021,110432.640625,24715.421875
2022,135741.296875,62397.15625
2023,146508.609375,37540.01171875
2024,154329.0625,28779.982421875
2025,164571.90625,9535.2021484375
