date,population,uncertainty
2016,47381.06640625,17316.142578125
2017,54182.34375,14777.7978515625
2018,66113.75,19908.11328125
2019,74204.4296875,7267.21337890625
2020,74351.5234375,9193.064453125
2021,77369.9921875,11415.6962890625
2022,80149.84375,18501.3671875
2023,77503.34375,10196.974609375
2024,90485.125,17927.607421875
2025,96684.0625,8282.6416015625
