date,population,uncertainty
2016,1880.381591796875,401.339599609375
2017,3108.26171875,530.1404418945312
2018,3130.9072265625,498.1743469238281
2019,2811.3017578125,250.77748107910156
2020,3255.7802734375,4687.00537109375
2021,4771.7509765625,2358.65771484375
2022,6114.48583984375,1019.1799926757812
2023,13836.451171875,3339.1826171875
2024,29728.57421875,9044.2763671875
2025,8137.0478515625,4712.90380859375
