date,population,uncertainty
2016,376067.09375,77091.9140625
2017,361017.375,45138.69921875
2018,503415.4375,76108.1328125
2019,471880.0625,179621.296875
2020,493900.0625,108039.5625
2021,717567.8125,85557.2421875
2022,596444.75,64647.6875
2023,823589.125,142701.578125
2024,892081.4375,109283.6015625
2025,807226.3125,207101.140625
