date,population,uncertainty
2016,10108.71875,0.0
2017,10386.04296875,0.0
2018,13965.28515625,912.940185546875
2019,18643.4140625,643.8294677734375
2020,17431.76953125,1564.5179443359375
2021,28565.984375,0.0
2022,22725.48046875,1378.40625
2023,20719.2578125,1403.1337890625
2024,28557.47265625,2658.892822265625
2025,28892.3125,1664.2935791015625
