date,population,uncertainty
2016,1554796.75,101455.703125
2017,1499701.875,259925.4375
2018,1685095.75,216164.671875
2019,1727829.125,56277.42578125
2020,1919190.625,144768.28125
2021,2036016.0,144964.5
2022,2126061.5,136119.09375
2023,2138930.5,152289.5625
2024,2012317.375,379035.25
2025,2177883.75,91761.34375
