date,population,uncertainty
2016,66756.171875,783.6328125
2017,88473.984375,14092.6337890625
2018,93637.15625,9389.255859375
2019,104111.5703125,8495.619140625
2020,108689.734375,20454.482421875
2021,116025.90625,13257.0244140625
2022,122780.484375,12540.462890625
2023,128773.484375,8262.5595703125
2024,127005.2265625,7761.53662109375
2025,135267.625,15015.66015625
